Bill ID,Title,Relevance Score (1-10),GDP Impact %,GDP Impact Confidence,GDP Impact Justification,Relevance Justification,Primary Mechanism,Implementation Timeline,Analysis Timestamp,Error
S-233,An Act to amend the Criminal Code (assault against persons who provide health services and first responders),2,0.0005,low,"Affected sectors: public and private health services (hospitals, long‑term care, home care, clinics) and first responders (paramedics, firefighters, some policing contexts). Mechanism: adds an aggravating factor at sentencing for assaults/threats against these workers, which likely (a) modestly increases average custody time for a subset of offenders and (b) may slightly deter incidents, reducing absenteeism, overtime, workers’ comp claims, and marginal turnover. Scale and conservative math: assume ≈12,000 police‑reported assaults per year involving these workers; ≈40% conviction rate (4,800); ≈30% result in custody (1,440). If the aggravating factor raises average custody by ~7 days, that adds ~10,000 custody days/year. At ≈$300/day, this is ≈$3.0M/year in additional correctional spending (~$30M over 10 years). Deterrence is uncertain; assume only ~1% reduction in incidents (~120 fewer/year). Using an average all‑in cost (lost time, overtime backfill, investigation, WSIB/insurance) of ≈$5,000 per incident yields ≈$0.6M/year savings. If perceived protection trims attrition by ~0.005% among ~800,000 high‑exposure health/EMS roles (~40 fewer separations/year) at ≈$25k per backfill/recruitment, that’s ≈$1.0M/year. Combined operational savings ≈$1.6M/year (~$16M over 10 years). Net fiscal/operational effect ≈$14M over 10 years, which is ~0.0005% of GDP. Timing: sentencing impacts are immediate; any deterrence/retention gains likely phase in over 2–5 years. Given high uncertainty on incident counts, conviction/custody shares, sentence deltas, and deterrence elasticity, confidence is low. Overall, the 10‑year cumulative GDP impact is negligible.","Primarily a criminal sentencing change with minimal direct implications for business operations. Indirect effects may slightly influence staffing costs and safety practices for health/EMS employers and private clinics, but there are no new compliance requirements or broad economic policy shifts. Limited relevance to builders and entrepreneurs outside of niche security or healthcare settings.","Requires courts to treat assaults on health workers and first responders as an aggravating factor at sentencing, modestly increasing average custody time and potentially deterring a small share of incidents.",Sentencing effect is immediate upon Royal Assent; any deterrence and workforce retention effects would materialize over 2–5 years.,2025-10-17T23:43:56.865Z,
S-234,An Act respecting a national framework for fetal alcohol spectrum disorder,3,0.005,low,"Affected sectors: healthcare and social services (diagnosis, case management, training), research/education providers, Indigenous services, and indirectly beverage alcohol (via awareness messaging only). Mechanism: the bill mandates a national framework (standards, training, research sharing, and an awareness strategy) but does not itself fund new services or change alcohol regulations. Expected economic channel is modest: better diagnosis/standardized supports can slightly raise labour-force participation and job retention among adults with FASD and reduce administrative friction for service providers; plus a small one-time increase in federal spending to develop and communicate the framework. Scale: conservatively assume FASD prevalence at ~1% of Canadians (~410,000 people), with ~250,000 adults. If national standards/training lift effective employment among adults with FASD by an average of just 0.06 percentage points over 10 years (about 150 additional workers on average, ramping to ~300 by years 6–10), and average GDP per worker is ~$80,000, the 10‑year cumulative incremental output is ~150 × $80,000 × 10 ≈ $120 million. Add ~ $10 million in federal consultation/reporting/awareness spending during development and initial rollout, for a total ~ $130 million over 10 years. Relative to a ~$2.7 trillion GDP, this is ~0.005%. Time horizon: minimal near-term effects; framework due within 18 months, with most adoption and any employment/productivity gains materializing gradually in years 5–10. Offsetting effects on alcohol sales from pregnancy-focused awareness are negligible at the macro level and are not modeled. Confidence is low because outcomes depend on provincial/territorial uptake and future funding decisions not contained in this bill.","Primarily a health/social policy framework with indirect business implications. Near-term opportunities are limited to small contracts for research, training, and public awareness. Potential longer-run effects on labour participation are diffuse and uncertain. Any meaningful regulatory changes affecting the alcohol or marketing industries would require separate actions, so direct relevance to builders and most entrepreneurs is low.","Creates national standards, training, and awareness guidance on FASD that marginally improves diagnosis/support and labour-force participation among affected adults.",Report within 18 months; 2–5 years for provincial and provider uptake; measurable outcomes mainly in years 5–10.,2025-10-17T23:43:56.865Z,
C-244,"An Act to amend The Canadian Environmental Protection Act, 1999 and the Wrecked, Abandoned and Hazardous Vessels Act",4,0.002,low,"Affected sectors: marine shipping and tug/barge operators, commercial fisheries and aquaculture, marinas/ports, ship recycling/salvage yards, and marine insurers/lenders. Mechanism: the new Wrecked, Abandoned or Hazardous Vessels Act s.34.1 offence deters owners from offloading end‑of‑life vessels to under‑resourced buyers, pushing more responsible decommissioning/scrapping and reducing abandoned/derelict vessels, spill cleanups, and navigational hazards. The CEPA wording change appears clarificatory relative to existing dumping-at-sea permits; incremental compliance effects are likely minimal. Scale and conservative quantification: (a) Prevented derelicts: assume ~30 fewer abandoned/problem vessels per year nationwide due to enhanced transfer liability and penalties. Using a conservative $150,000 average removal/remediation cost per case implies ~$4.5M/year avoided. Over 10 years: ~$45M. (b) Spill/hazard avoidance: assume 1 major spill/hazard incident every two years attributable to derelict/problem vessels is prevented by the deterrent effect (0.5/year), at ~$1M in response and economic disruption per incident = ~$0.5M/year, or ~$5M over 10 years. (c) Minor port/marina closures and tourism/fishery disruptions avoided: ~$0.3M/year, or ~$3M over 10 years. (d) New compliance/due-diligence costs: assume ~400 higher‑risk vessel transfers/year face incremental documentation/inspection/insurance checks averaging ~$500 each = ~$0.2M/year, ~$2M over 10 years. Net 10‑year effect ≈ ($45M + $5M + $3M) − $2M = ~$51M, which is ~0.0019% of a $2.7T GDP. Rounded: 0.002%. Time horizon: compliance costs begin immediately upon in‑force; measurable reductions in derelict stock and associated savings accrue over 2–5 years, with most cumulative benefits realized over 5–10 years. Caveats: effects hinge on enforcement capacity and prosecutorial follow‑through; many derelict vessels stem from insolvency/legacy issues that may be only partially deterred. Given data uncertainty and the narrow, localized nature of impacts, confidence is low.","Somewhat relevant to a narrow set of entrepreneurs: vessel owners/operators, marine insurers/lenders, shipyards/salvage and recycling firms, ports and marinas. It adds modest compliance risk and could modestly increase demand for responsible scrapping/recycling services. For most builders and non‑marine entrepreneurs, impacts are indirect or negligible.","Creates an offence prohibiting transfer of a vessel to an under‑resourced buyer and adds penalties, reducing abandoned vessels and associated cleanup/spill and hazard costs; minor added due‑diligence costs on vessel transactions.",Compliance changes immediate on coming into force; deterrence benefits accrue over 2–5 years as behavior shifts; most cumulative benefits realized over 5–10 years.,2025-10-17T23:43:56.865Z,
C-243,An Act to amend the Corrections and Conditional Release Act (parole review),2,0.0001,low,"Affected sectors: federal corrections and parole administration (Correctional Service of Canada and Parole Board of Canada), with minor spillovers to legal services. Mechanism: the bill eliminates offender-initiated reapplications for day/full parole after denial or cancellation for first/second-degree murder, defaulting to statutory review intervals only. This reduces hearing volume and related casework, but may lengthen time in custody for a small subset who would otherwise have been granted earlier release upon reapplication. Scale: PBC issues ~16,000 conditional release decisions annually; lifer cases are a small subset (hundreds). Conservatively assume 150–250 offender-initiated early reapplication hearings/year are eliminated (midpoint 200). Loaded per-hearing administrative cost (PBC hearing time, CSC case preparation, victim services/logistics) ~ $9,000, implying ~$1.8M/year gross savings. Assume ~5% of those reapplicants (10/year) would have secured earlier release by ~1 year on average; added custody cost per inmate ≈ $150k/year → ~$1.5M/year added cost. Net impact ≈ +$0.3M/year savings, or ~$3M over 10 years. Time horizon: administrative savings begin immediately; custody-time effects phase in as reviews occur (within 2–5 years). Ten-year cumulative impact ≈ $3M, which is ~0.0001% of Canada’s ~$2.7T GDP. Given uncertainty in hearing volumes, success rates of early reapplications, and review intervals, confidence is low.",Primarily a corrections/administrative change with negligible direct effects on business operations. Minor budgetary implications and limited impact on justice-system service providers; no material change to the broader business environment for builders or entrepreneurs.,"Eliminates offender-initiated parole reapplications after denial/cancellation for murder convictions, limiting reviews to statutory intervals and reducing hearing/casework volume.",Immediate to 1 year (federal administrative change; no provincial adoption required),2025-10-17T23:43:56.865Z,
C-242,An Act to amend the Criminal Code and the Department of Justice Act,4,0.03,low,"Affected sectors: provincial/territorial corrections, courts/Crown/legal aid, policing, retail/hospitality/insurance (via crime), and to a lesser extent security services and legaltech (from the new annual reporting). Mechanism: the bill tightens bail by (i) replacing the restraint principle with public safety as primary, (ii) expanding reverse‑onus for violent indictable offences and creating a 'major offence' class, (iii) barring officer‑in‑charge releases for major offences, (iv) requiring superior‑court bail for certain repeat major offenders, (v) ending release between guilty plea and sentencing for indictable offences, (vi) making the risk standard 'reasonably foreseeable' rather than 'substantial likelihood', and (vii) imposing passport holds for non‑citizens/PRs. Net effects: more pre‑trial and pre‑sentence detention (raising corrections/court spending), modest reductions in offences committed while on release (lowering some business losses and policing demand), and small labor‑supply losses from additional remand time. Scale (conservative, national, steady‑state per year): (1) Extra detention pending sentencing for indictable pleas: ~15,000 cases × 14 days ≈ 210,000 bed‑days (~575 average daily inmates; ~$73M/year at ~$350/day). (2) Expanded reverse‑onus + lower risk standard for major offences: ~20,000 bail cases × +10 pp higher detention × 45 days ≈ 90,000 bed‑days (~247 ADP; ~$31M/year). (3) No peace‑officer release for major offences: ~10,000 incidents × +1 day ≈ 10,000 bed‑days (~27 ADP; ~$3.5M/year). (4) Superior‑court bail for repeat major offenders: ~1,000 cases × +7 days ≈ 7,000 bed‑days (~19 ADP; ~$2.4M/year). (5) Small system‑wide shift from 'reasonably foreseeable' standard: ~100,000 bail decisions × +1 pp initial detention × 7 extra days ≈ 7,000 bed‑days (~19 ADP; ~$2.4M/year). Total ≈ 324,000 additional bed‑days (~887 ADP) → ~$113M/year in operating costs. Add court/Crown/policing overhead for more/longer bail proceedings ≈ $30M/year. Business‑side benefits from incapacitation of high‑risk offenders while on release are modest (prevented offences while on bail/pending sentence on the order of a few hundred to low thousands/year), yielding ~$5–$15M/year in reduced retail shrink, property damage, and insurance‑related costs (use $7M midpoint). Lost private‑sector output from additional remand: ~887 ADP × 30% employed × ~$60k GDP/worker FTE ≈ $16M/year. Net measured GDP effect (government consumption minus lost output plus business savings) ≈ +$113M + $30M − $16M + $7M ≈ +$134M/year. Applying a 40% haircut for constitutional challenges, judicial interpretation, and provincial capacity limits yields ≈ +$80M/year. Over 10 years ≈ $0.8B, or about 0.03% of a $2.7T GDP. Time horizon: most detention‑related impacts begin within months of Royal Assent; steady‑state after 1–2 years as case law/procedures settle; crime‑reduction effects accrue gradually over 2–5 years. Confidence: low, due to uncertain judicial/Charter outcomes, provincial implementation differences, capacity constraints (which can cap detention), and limited public data on how many cases fit the new 'major offence/repeat' definitions.","Indirect and narrow relevance for builders/entrepreneurs. Possible small benefits for retailers and downtown SMEs from reduced offences by high‑risk accused and marginal improvements in perceived safety, and minor opportunities for legal/data vendors due to the new reporting. However, the bill does not change taxes, permits, capital formation, trade, or broad business regulation. Most impacts fall on government operations (corrections/courts) with modest, uncertain pass‑through to business costs or sales.","Increases pre‑trial and pre‑sentence detention for major/violent charges via expanded reverse‑onus, a lower risk standard, and limits on officer‑in‑charge release, raising corrections/court spending and modestly reducing offences by accused on release.",Initial effects within 3–6 months of Royal Assent; 1–2 years to reach steady‑state as jurisprudence and provincial procedures adjust; crime‑related impacts accrue over 2–5 years.,2025-10-17T23:43:56.865Z,
C-241,An Act to establish a national strategy respecting flood and drought forecasting,6,0.005,low,"Affected sectors: agriculture (~190,000 farms; ~$40B primary agriculture GDP), property and casualty insurance (flood risk underwriting), construction/infrastructure planning, utilities (hydropower and municipal water), transportation and municipalities in floodplains, and water/climate-tech vendors. Mechanism: the Act mandates only a national strategy (not a funded service). If acted upon within existing authorities, it can modestly improve coordination, data-sharing, and standardized risk maps/forecasts, enabling earlier protective actions (sandbagging, equipment relocation), better reservoir and irrigation scheduling, and more accurate insurance pricing—reducing avoidable damage and business interruption. Scale and calculation: conservative baseline annual economic losses from floods/drought in Canada ~$5B (insured + uninsured). Incremental reduction attributable to a national coordination strategy over existing provincial forecasting assumed at 0.3% once partially implemented, i.e., ~$15M/year. Benefits realistically begin in year 4 and run through years 4–10: ~$15M × 7 = ~$105M. Secondary effects: (a) agricultural planning/yield protection: assume 10% of agricultural output is moderately drought-affected in a typical year; better forecasts avert ~0.1% of losses → ~0.001 × 0.10 × $40B ≈ $4M/year for 6 years ≈ $24M; (b) modest hydropower/water-operations optimization and construction scheduling gains: ~+$3M/year for 6 years ≈ $18M. Total 10‑year cumulative ≈ $105M + $24M + $18M = ~$147M. Relative to ~$2.7T GDP, this is ~0.147B / 2,700B ≈ 0.005% (cumulative over 10 years). Time horizon: strategy due within 2 years; practical benefits likely begin 3–5 years post‑enactment as provinces/municipalities integrate outputs, ramping in years 5–10. Confidence: low—this bill does not fund or establish an operational service; impacts depend on provincial cooperation and separate federal/provincial investments, so realized benefits could be near zero without follow‑on action.","Somewhat relevant to builders and entrepreneurs. Direct business changes are limited because the bill only mandates a strategy, not implementation. However, it can create future procurement and open-data opportunities for water/climate-tech firms, geospatial and risk-analytics startups, and provides planning inputs for developers, insurers, and agriculture. Immediate operational impact on most businesses is small, but potential medium‑term opportunities exist if the strategy leads to funded programs.","Establishes a national coordination and data‑sharing strategy that modestly improves flood/drought forecast accuracy and lead times, enabling earlier protective action and better planning.",Strategy published within 2 years; partial benefits begin 3–5 years post‑enactment if agencies act within existing authorities; larger benefits 5–10 years contingent on provincial participation and follow‑on funding.,2025-10-17T23:43:56.865Z,
C-240,"An Act to amend the Criminal Code, to make related amendments to the Corrections and Conditional Release Act and to amend the Controlled Drugs and Substances Act",4,0.008,low,"Affected sectors: corrections (federal CSC and, to a limited extent, provincial/territorial facilities), in-custody education/training providers (e.g., CORCAN, accredited programs), addictions treatment providers, and indirectly employers needing entry-level and trades labour. Mechanism: the bill allows courts to prescribe in-custody measures (training/treatment) and requires CSC to reflect court-ordered programs in correctional plans and parole assessments. This slightly raises program completion rates by creating clearer expectations and incentives; the fentanyl amendment may modestly increase sentences for large-scale traffickers. Scale and conservative quantification: (1) New custodial sentences ~35,000 annually (federal ~5,000; provincial sentenced custody ~30,000). Assume judicial uptake reaches 20% after ramp-up → ~7,000 orders/year. Given existing programming and the 'subject to availability' and 'program director acceptance' constraints, assume only 20% of ordered cases result in incremental completions beyond the status quo → ~1,400 additional completions/year. (2) Employment effect: evidence on correctional education suggests a 5–10 percentage-point increase in post-release employment; use 6% for conservatism → ~84 additional employed people per cohort-year. Assume average 2 years of employment per person spread over the 10-year horizon → ~168 added job-years per annual cohort; at ~$80,000 GDP per job-year, ≈$13.4M GDP per cohort. Over 10 cohorts ≈$134M. (3) Direct program spending: average incremental cost $3,000 per additional completion (many orders are low-cost like victim letters; training/treatment is costlier) → ~$4.2M/year, ~$42M over 10 years (adds to GDP as government consumption). (4) Fentanyl aggravating factor: assume ~40 convictions/year meet the 'large-scale' threshold, adding on average 0.5 extra year → ~20 inmate-years/year. At ~$180,000 per inmate-year ≈$3.6M/year, ~$36M over 10 years (adds to GDP via government spending; deterrence or public-safety gains are not quantified). Cumulative 10-year GDP effect ≈$134M + $42M + $36M = ~$212M, which is ~0.008% of annual GDP ($2.7T). Time horizon: impacts ramp in 2–5 years as courts adopt orders and programming capacity adjusts; employment and recidivism effects materialize 2–5+ years post-sentencing. Implementation risks: provincial participation is not mandated; capacity constraints ('subject to availability') and offender consent for treatment limit uptake; parole boards already consider progress, so marginal change may be small. Given these uncertainties and reliance on discretionary uptake, confidence is low.","Some indirect relevance for builders and entrepreneurs: modest potential boost to post-release labour supply (especially for entry-level and trades roles) and marginal improvements in public safety that can reduce business losses. However, effects are small, contingent on program availability and judicial uptake, and the bill does not change taxes, permitting, competition policy, or core business regulations. Hence, only somewhat relevant.","Enables courts to order in-custody training/treatment and ties parole assessments to progress, modestly increasing program completion and post-release employment; plus slightly longer sentences for large-scale fentanyl traffickers.",2-5 years (judicial uptake and program capacity ramp-up; provincial participation is discretionary and capacity-limited),2025-10-17T23:43:56.865Z,
C-239,An Act to amend the Canada Health Act (accountability),4,0.007,low,"Affected sectors: provincial health systems (hospitals, ER, primary care, physician offices), health IT/analytics vendors, and employers indirectly via worker productivity. Mechanism: ties full Canada Health Transfer cash to provincial accountability frameworks with public benchmarks on timely access and efficiency reporting, creating mild performance pressure that can reduce wait times and nudge process improvements; no new funding or structural reform is mandated. Scale (conservative): (1) Physician/clinic output measured in GDP (~1.8% of GDP ≈ $48B/yr) could see a very small throughput gain from benchmarking/public reporting of 0.05% at full effect, worth ≈$24M/yr; assuming a gradual ramp and partial adoption, ≈$120M cumulative over 10 years. (2) Labour productivity from shorter waits: assume ~100,000 employed patients annually in conditions where delays impair work; a 0.5% reduction to a typical 50‑day wait recovers 0.25 days per case → 25,000 days/yr at full effect. Using ≈$540 GDP per worker‑day (2.7T GDP / ~20M workers / ~250 days), that is ≈$13.5M/yr. Add ~5,000 days/yr (≈$2.7M/yr) from modest primary‑care/ER access improvements. With a 3–4 year ramp and partial compliance, ≈$80–90M cumulative over 10 years. Total positive impact ≈$200M cumulative, or ~0.007% of GDP. Offsets/limits: reporting/compliance costs are largely reallocations within provincial budgets, and enforcement under the Canada Health Act has historically been limited, so realized gains may be smaller. Time horizon: impacts start ~years 3–4, with most gains in years 5–10. Confidence: low, given uncertain provincial responses, already‑existing reporting in some provinces, and the administrative (not structural) nature of the bill.","Indirect relevance to most builders/entrepreneurs: it does not change private-sector regulations or taxes. Potential opportunities for health IT, analytics, and process-improvement vendors supplying provinces, and a small, diffuse benefit from slightly reduced employee downtime. For most businesses, effects are second-order and uncertain.","Makes full Canada Health Transfer contingent on provincial wait-time benchmarks and transparent reporting, prompting small efficiency gains and modest reductions in lost workdays.","2–5 years post–order in council for provinces to design and publish frameworks; measurable effects likely from year 3, ramping through years 5–10.",2025-10-17T23:43:56.865Z,
C-238,An Act to amend the Criminal Code (restitution orders),3,0.0005,medium,"C-238 expands restitution orders so courts can require offenders convicted of human trafficking (Criminal Code ss. 279.01–279.02) and certain drug offences (CDSA ss. 5, 6, 7.1) to reimburse non-individual front-line service providers (e.g., emergency, harm reduction, victim support) for reasonable, readily ascertainable costs. Mechanism: small transfers from offenders to organizations for items like emergency medical supplies, shelter, security, counselling, and incremental staffing/training. Scale assumptions: roughly 2,000 eligible convictions nationwide per year; about 15% yield organizational restitution orders given evidentiary and ability-to-pay limits (~300 orders/year). Average order ~$25,000 with an estimated 40% collection rate → ~$3.0M/year collected, or ~$30M over 10 years. Because restitution is largely a transfer (offenders would otherwise spend some of this money), assume only ~50% is net-additive to service delivery capacity (~$15M over 10 years). Additional court/admin time to assess/enforce orders estimated at ~$0.3M/year (~$3M over 10 years). Net incremental economic activity ≈ $12M over 10 years, which is ~0.0005% of one-year GDP ($2.7T). Any deterrence or community-safety spillovers are likely too small to materially change this order of magnitude. Confidence is medium: high confidence the impact is negligible (<0.01% of GDP), lower confidence on precise dollars due to uncertain conviction counts, judicial discretion, and collection rates.","Primarily a sentencing/restitution change with narrow, indirect business effects. It may slightly increase revenues for a small set of public/non-profit front-line organizations and their suppliers (security, counselling, medical goods), but it does not alter taxes, broad regulation, or operating conditions for most businesses. Entrepreneurs outside these niches will see negligible impact.","Authorizes courts to order offenders to pay restitution to non-individual front-line community service providers for enumerated, offense-linked costs (e.g., emergency medical supplies, shelter, harm reduction, security, counselling, staffing/training).",Begins immediately upon Royal Assent for new convictions; reaches steady-state application in 1–3 years; collections typically received over 1–5 years due to payment schedules.,2025-10-17T23:43:56.865Z,
C-237,An Act to amend the Fisheries Act (Atlantic groundfish fisheries),5,0.004,low,"Affected sectors: Atlantic recreational fishing charters/guides, marine tourism/hospitality (lodging, restaurants, fuel), bait/tackle retail, and IT/compliance vendors serving DFO. Mechanism: (1) Harmonized, spawning‑based close times and mandatory two‑month advance publication reduce uncertainty and scheduling conflicts, enabling earlier marketing and more trip bookings; (2) A new catch‑monitoring/reporting system improves data for stock management but adds modest compliance friction; (3) DFO procurement to build/operate the monitoring system injects spending into IT/compliance services. Scale: Atlantic recreational groundfish activity is on the order of $200–300M/year (150–200k participants; ~1M trips; ~$120–$150/trip). Conservative effects assumed: +3% increase in trips/spend from harmonization + advance notice = +$6–9M/year; −1% participation drag from new reporting requirements for the first 3 years = roughly −$2–3M/year for 3 years (≈ −$7.5M total); DFO monitoring procurement ≈ $5M setup + $3M/year O&M over 9 years ≈ $32M over 10 years; modest stock‑stability/planning benefits from better data of ~$1M/year in years 4–10 (≈ $7M). Net 10‑year incremental GDP ≈ $75M (trip gains) − $7.5M (friction) + $32M (procurement) + $7M (stability) ≈ $106.5M. As a share of Canada’s ~$2.7T GDP, that is ≈ 0.004% over 10 years. Time horizon: planning/booking effects start within 1–2 seasons; data/sustainability benefits materialize in 3–7 years. Key uncertainties lowering confidence: actual baseline spend and participation; how strictly “spawn‑only” closure limits interact with conservation (DFO may offset with bag limits); compliance burden/uptake of reporting tools; and whether fees to fund the system dampen participation.","Direct but narrow relevance to entrepreneurs operating in Atlantic charter fishing, guiding, marine tourism, bait/tackle retail, and hospitality. It improves season predictability and could slightly expand bookable days, while adding light reporting obligations and potential fees. Limited impact outside this niche; minimal effect on the broader business environment or economy-wide competitiveness.","Harmonizes recreational groundfish close times across Atlantic provinces and mandates two‑month advance publication, improving planning for charters/tourism while adding a catch‑monitoring/reporting system.",1–3 years for harmonized closures and monitoring system to be in place; 3–7 years for data-driven stability benefits to materialize.,2025-10-17T23:43:56.865Z,
C-236,"An Act to amend the Criminal Code, the Corrections and Conditional Release Act and the Prisons and Reformatories Act",2,0.0001,high,"Affected sectors: justice system (courts, policing), federal/provincial corrections, parole boards. Mechanism: (a) treating non-disclosure of remains as an aggravating factor and (b) enabling courts to require up to 50% of sentence (max 10 years) before full parole, plus explicit authority for parole boards to refuse release/temporary absences. Scale: Canada sees ~800 homicides/year. A small subset (≈1% ≈ 8 cases/year) involve offenders who know but refuse to disclose the location of remains. Of these, assume ~4 are non-life sentences (e.g., manslaughter) and ~4 are life sentences. For the ~4 non-life cases, shifting parole eligibility from 1/3 to 1/2 adds on average ~0.5 inmate-years each (recognizing many are denied parole regardless) ≈ 2 inmate-years. For the ~4 life cases, codifying non-disclosure as a reason to deny parole adds ~0.25 inmate-years each ≈ 1 inmate-year. At ≈$150k per inmate-year, added corrections spend ≈$0.45M/year. Deterrence/cooperation could prompt disclosure in ~1–2 cases/year, reducing search/investigation costs by ≈$0.3M per case (≈$0.45M/year). Net fiscal effect ≈ $0M–$0.3M/year; central ≈ $0.1M/year. Over 10 years ≈ $1M. As a share of ~$2.7T GDP, that is ≈0.00004%; rounded to 0.0001% to reflect uncertainty. Business spillovers are negligible and limited to minor corrections/policing procurement changes. Time horizon: sentencing impacts begin immediately for new cases; parole effects materialize 2–5 years out and are fully reflected within 5–10 years.","Primarily a criminal sentencing and parole policy with negligible direct impact on business operations, investment, or regulatory burden. Any economic effects are limited to very small changes in public safety spending and policing workloads, with no meaningful implications for builders or entrepreneurs.","Increases time served before parole (up to 50% of sentence or 10 years) and treats non-disclosure of remains as an aggravating factor, modestly raising corrections costs while slightly reducing investigative costs via increased cooperation.",Immediate for new sentences upon coming into force; parole and release decision impacts accrue over 2–5 years and reach steady state by 5–10 years.,2025-10-17T23:43:56.865Z,
C-235,An Act to amend the Criminal Code (increasing parole ineligibility),2,0.0002,high,"Affected sectors: federal/provincial justice systems (courts, prosecution/defence, corrections), legal services. Mechanism: the bill allows judges to increase parole ineligibility from 25 to up to 40 years for offenders convicted of abduction + sexual assault + murder of the same victim. Near-term economic effects are limited to slightly longer sentencing proceedings and potential constitutional litigation; additional incarceration years occur only after 25 years, outside the 10‑year horizon. Scale: Canada records roughly 750–900 homicides/year; sexual-assault-related homicides are ~1–2% of cases, and the subset also involving abduction is rarer. Conservatively assume 2–4 qualifying convictions/year (≈3/year). Incremental court time to argue parole ineligibility (≈1 day/case at ~$15k/day) ≈ $45k/year → ~$0.45M over 10 years. National training/guidance updates across justice partners ≈ $0.5–1.0M one-time. Likely Charter litigation (given recent jurisprudence limiting extended parole ineligibility) could cost governments several million; assume $3–7M over 10 years (midpoint ~$5M). Total incremental government spending within 10 years ≈ $6–6.5M. Relative to ~$2.7T GDP, that is ~0.00022–0.00024%, rounded to 0.0002%. Deterrence effects for such rare crimes are uncertain and, even if present, would shift only a handful of cases over a decade, yielding negligible GDP changes. Time horizon: sentencing changes are immediate; meaningful incarceration cost changes arise 25–40 years after conviction, beyond this window. Confidence: high that the 10-year impact is far below 0.01%, regardless of litigation outcomes.","This is a narrow criminal sentencing change with no direct implications for business regulation, taxation, permitting, labour markets, or capital formation. Any indirect effects on business environment or public safety are too small and diffuse to matter for builders or entrepreneurs within 10 years. It may slightly affect legal services, but the scope is minimal.","Extends parole ineligibility from 25 years to up to 40 years for offenders convicted of abduction plus sexual assault plus murder of the same victim, leading to minor near-term court/litigation costs and long-term (post-25 years) higher incarceration years.",Immediate for sentencing upon Royal Assent; near-term effects are small (minor court and litigation costs within 0–2 years); major fiscal effects from longer incarceration would materialize 25–40 years after convictions.,2025-10-17T23:43:56.865Z,
C-234,An Act respecting the establishment and award of a Living Donor Recognition Medal,2,0.0002,low,"Affected sectors: health care (transplant programs and dialysis providers), non-profit donation organizations, and small vendors that produce medals/host ceremonies. Mechanism: symbolic recognition and public ceremonies marginally increase social signaling and awareness, nudging a small increase in living organ donations; this can shorten time on dialysis and enable some recipients (and caregivers) to return to work sooner. Scale: Canada sees roughly 600–700 living donors per year. Assuming a conservative 0.5% uplift once the medal is established (≈3–4 additional donors per year) starting in year 2 and continuing for 9 years yields ≈29 extra transplants over 10 years. If ~60% of recipients are working-age, ~17 people could regain work capacity averaging ~2.5 FTE‑years each over the decade (~42.5 FTE‑years). Using ≈$100,000 GDP per worker‑year implies ≈$4.25M. Add modest caregiver time freed (≈0.6 FTE‑years each for 17 caregivers ≈10.2 FTE‑years ≈$1.0M). Total incremental GDP ≈$5.3M over 10 years. Relative to ~$2.7T GDP, that is ~0.0002%. Direct program costs (medal design, ceremonies, administration) are likely <$1M/year and largely represent budget reallocations within health/government, so they have little net effect on GDP; health-system cost savings from fewer dialysis years are also typically reallocated to other care rather than reducing GDP. Time horizon: effects would start after setup (year 2) and accrue gradually over years 2–10. Confidence: low, because the behavioral response to an honorific medal could be close to zero, capacity constraints could limit additional procedures, and some living donations may substitute for deceased-donor transplants rather than adding net procedures.","Primarily ceremonial and health-system–focused. Any business impact is extremely indirect (minor procurement for medals/events and marginal productivity gains from a very small number of recovered patients). It does not change regulations, taxes, financing conditions, or operating costs for most builders and entrepreneurs.","Symbolic recognition and publicity slightly increase living organ donation, allowing some recipients to return to work sooner and freeing limited caregiver time.","0–12 months to design the medal and issue regulations; awareness and behavioral effects begin in years 1–2 and, if any, accrue gradually over 2–5 years and persist thereafter.",2025-10-17T23:43:56.865Z,
